time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2026-04-06T01:40:06.80Z,13.1423038,101.0485680,-11.038,-0.39,-0.25,2.37,117.330,252.177,15.16,0.00000,180.00000,3,4
2026-04-06T01:40:07.00Z,13.1425032,101.0486446,50.884,0.70,0.31,-1.57,59.759,81.582,2.70,0.00000,89.39632,3,5
2026-04-06T01:40:07.60Z,13.1424509,101.0486535,62.153,0.71,0.26,-0.79,41.582,58.855,1.23,0.00000,89.40076,3,5
2026-04-06T01:40:07.80Z,13.1424608,101.0486599,60.675,0.78,0.31,-0.56,37.074,52.623,1.01,0.00000,89.40178,3,5
2026-04-06T01:40:08.00Z,13.1424718,101.0486669,58.550,0.81,0.24,-0.36,33.632,47.781,0.93,0.00000,89.40272,3,5
2026-04-06T01:40:08.20Z,13.1424827,101.0486722,56.439,0.57,0.16,-0.14,30.981,44.057,0.98,0.00000,89.40370,3,5
2026-04-06T01:40:08.40Z,13.1424976,101.0486732,54.685,0.62,0.13,-0.05,28.883,41.043,1.03,0.00000,89.40472,3,5
2026-04-06T01:40:08.60Z,13.1424742,101.0486739,56.149,0.75,0.20,-0.09,25.868,38.167,0.93,0.00000,89.40568,3,6
2026-04-06T01:40:08.80Z,13.1424569,101.0486753,57.674,0.71,0.52,-0.51,23.679,35.885,1.04,0.00000,89.40672,3,6
2026-04-06T01:40:09.00Z,13.1424444,101.0486793,58.625,0.75,0.68,-0.66,22.041,34.114,1.09,0.00000,89.40794,3,6
2026-04-06T01:40:09.20Z,13.1424273,101.0486827,59.912,0.69,0.47,-0.67,20.707,32.553,1.08,0.00000,89.40902,3,6
2026-04-06T01:40:09.40Z,13.1424221,101.0486838,59.829,0.56,0.41,-0.46,19.532,31.046,1.01,0.00000,89.41004,3,6
2026-04-06T01:40:09.60Z,13.1424192,101.0486864,59.810,0.75,0.43,-0.74,18.537,29.733,1.06,0.00000,89.41120,3,6
