time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2019-05-25T17:46:49.60Z,37.8047962,-121.6000952,454.238,-42.62,23.88,-8.90,67.685,62.487,1.94,150.73594,3.03521,3,8
2019-05-25T17:46:49.80Z,37.8046920,-121.5999952,453.703,-42.86,24.36,-8.29,41.725,43.042,1.63,150.38610,2.30693,3,10
2019-05-25T17:46:50.00Z,37.8045841,-121.5998261,455.306,-42.97,26.26,-8.15,26.135,31.204,1.05,148.56601,1.40397,3,13
2019-05-25T17:46:50.20Z,37.8044904,-121.5997505,454.488,-42.98,27.30,-8.02,18.668,23.884,0.75,147.57841,0.93522,3,15
2019-05-25T17:46:50.40Z,37.8044115,-121.5996918,455.750,-43.07,27.65,-7.75,14.602,19.613,0.51,147.30076,0.66775,3,15
2019-05-25T17:46:50.60Z,37.8043196,-121.5996640,453.789,-43.05,27.81,-7.62,12.141,16.477,0.42,147.13834,0.59601,3,14
2019-05-25T17:46:50.80Z,37.8042260,-121.5996200,452.060,-42.90,27.96,-7.54,10.409,14.419,0.35,146.90428,0.51079,3,14
2019-05-25T17:46:51.00Z,37.8041430,-121.5995197,454.761,-42.88,28.13,-7.47,9.209,13.024,0.35,146.72825,0.44277,3,14
2019-05-25T17:46:51.20Z,37.8040605,-121.5994727,454.898,-43.00,28.20,-7.39,8.446,11.976,0.44,146.74364,0.43403,3,13
2019-05-25T17:46:51.40Z,37.8039827,-121.5994185,456.004,-42.99,28.16,-7.38,7.834,11.142,0.52,146.77129,0.44634,3,14
2019-05-25T17:46:51.60Z,37.8039091,-121.5993568,457.927,-42.44,28.07,-7.42,7.511,10.687,0.78,146.52434,0.49633,3,13
2019-05-25T17:46:51.80Z,37.8038333,-121.5992971,459.456,-42.81,28.30,-7.41,7.147,10.284,0.78,146.53048,0.48704,3,14
2019-05-25T17:46:52.00Z,37.8037580,-121.5992356,461.060,-42.62,28.36,-7.04,6.848,9.942,0.82,146.36168,0.49966,3,14
2019-05-25T17:46:52.20Z,37.8036799,-121.5991771,462.287,-42.80,28.42,-7.04,6.593,9.628,0.81,146.40870,0.49432,3,14
2019-05-25T17:46:52.40Z,37.8036012,-121.5991172,463.509,-42.85,28.66,-6.93,6.378,9.357,0.80,146.21719,0.50683,3,14
2019-05-25T17:46:52.60Z,37.8035206,-121.5990557,464.609,-42.56,28.55,-6.94,6.226,9.098,0.65,146.15122,0.51166,3,14
2019-05-25T17:46:52.80Z,37.8034422,-121.5989933,464.872,-42.53,28.55,-6.67,6.036,8.656,0.53,146.13259,0.48001,3,14
2019-05-25T17:46:53.00Z,37.8033649,-121.5989314,465.464,-42.55,28.52,-6.50,5.873,8.250,0.50,146.16447,0.47185,3,14
2019-05-25T17:46:53.20Z,37.8032888,-121.5988697,466.474,-42.56,28.57,-6.53,5.731,7.914,0.49,146.13007,0.47132,3,14
2019-05-25T17:46:53.40Z,37.8032107,-121.5988085,467.274,-42.59,28.45,-6.59,5.559,7.587,0.42,146.24968,0.43565,3,14
2019-05-25T17:46:53.60Z,37.8031323,-121.5987461,468.288,-42.23,28.24,-6.69,5.395,7.352,0.39,146.22541,0.42509,3,14
2019-05-25T17:46:53.80Z,37.8030541,-121.5986838,468.908,-42.49,28.81,-6.78,5.254,7.153,0.39,145.85940,0.42592,3,14
2019-05-25T17:46:54.00Z,37.8029768,-121.5986212,469.619,-42.65,28.69,-6.80,5.147,6.983,0.40,146.07128,0.46307,3,14
2019-05-25T17:46:54.20Z,37.8028992,-121.5985579,470.441,-42.61,28.76,-6.56,5.047,6.823,0.40,145.98483,0.46878,3,14
2019-05-25T17:46:54.40Z,37.8028213,-121.5984934,471.571,-42.98,28.77,-6.54,4.957,6.706,0.46,146.21004,0.51026,3,14
2019-05-25T17:46:54.60Z,37.8027435,-121.5984300,472.711,-42.43,28.74,-6.45,4.870,6.604,0.59,145.89413,0.54261,3,14
2019-05-25T17:46:54.80Z,37.8026660,-121.5983660,473.875,-42.63,28.82,-6.52,4.799,6.521,0.67,145.93516,0.56594,3,14
2019-05-25T17:46:55.00Z,37.8025917,-121.5982929,475.963,-42.46,29.17,-6.08,4.668,6.377,0.68,145.50750,0.51673,3,15
2019-05-25T17:46:55.20Z,37.8025143,-121.5982269,477.180,-42.35,29.53,-6.00,4.610,6.310,0.68,145.11147,0.53943,3,14
2019-05-25T17:46:55.40Z,37.8024400,-121.5981542,479.248,-42.41,29.54,-5.94,4.491,6.179,0.66,145.14675,0.47006,3,15
2019-05-25T17:46:55.60Z,37.8023627,-121.5980881,480.362,-42.50,29.59,-5.91,4.440,6.123,0.72,145.15663,0.57451,3,14
2019-05-25T17:46:55.80Z,37.8022856,-121.5980218,481.453,-42.45,29.85,-5.85,4.392,6.070,0.69,144.88949,0.57292,3,14
2019-05-25T17:46:56.00Z,37.8022094,-121.5979543,482.700,-42.26,29.97,-5.76,4.344,6.016,0.66,144.65687,0.56162,3,14
2019-05-25T17:46:56.20Z,37.8021335,-121.5978868,483.984,-42.33,30.02,-5.88,4.295,5.957,0.64,144.65558,0.53328,3,14
2019-05-25T17:46:56.40Z,37.8020577,-121.5978188,485.367,-42.26,30.05,-6.01,4.248,5.899,0.61,144.58665,0.52927,3,14
2019-05-25T17:46:56.60Z,37.8019823,-121.5977520,486.468,-41.92,29.94,-5.89,4.198,5.833,0.60,144.45778,0.52416,3,14
2019-05-25T17:46:56.80Z,37.8019075,-121.5976838,487.744,-41.96,30.13,-5.79,4.152,5.776,0.61,144.31840,0.52258,3,15
2019-05-25T17:46:57.00Z,37.8018324,-121.5976152,489.125,-42.03,30.14,-6.11,4.092,5.716,0.54,144.35064,0.48981,3,15
