time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2019-05-18T16:45:20.40Z,35.1408247,-119.4452102,271.232,0.39,-0.21,-0.43,44.778,42.325,3.64,0.00000,180.00000,3,6
2019-05-18T16:45:20.60Z,35.1408539,-119.4452410,271.508,0.09,-0.15,-1.10,27.726,27.343,1.28,0.00000,180.00000,3,8
2019-05-18T16:45:21.40Z,35.1408509,-119.4452853,272.356,-0.04,0.16,-0.03,10.788,12.596,0.25,206.47199,44.97950,3,9
2019-05-18T16:45:21.60Z,35.1408361,-119.4452983,269.938,-0.67,0.24,-0.71,8.781,10.874,0.34,165.04595,15.40394,3,10
2019-05-18T16:45:21.80Z,35.1408289,-119.4452919,268.015,0.10,0.19,-1.16,7.516,9.192,0.29,165.04595,15.40463,3,9
2019-05-18T16:45:22.00Z,35.1408273,-119.4452843,264.725,0.10,-0.06,-0.68,6.418,7.874,0.23,165.04595,15.40503,3,11
2019-05-18T16:45:22.20Z,35.1408210,-119.4452905,266.324,0.32,-0.62,-0.01,5.680,7.115,0.18,255.88910,10.42029,3,10
2019-05-18T16:45:22.40Z,35.1408241,-119.4453034,267.218,0.30,-0.18,-0.13,5.185,6.369,0.20,261.87139,35.02392,3,12
2019-05-18T16:45:22.60Z,35.1408277,-119.4453163,267.748,-0.01,-0.52,0.03,4.676,5.807,0.21,266.25430,26.32085,3,12
2019-05-18T16:45:22.80Z,35.1408358,-119.4453279,268.044,-0.07,0.05,-0.10,4.211,5.280,0.27,266.25430,26.32095,3,12
2019-05-18T16:45:23.00Z,35.1408376,-119.4453287,268.927,0.04,0.12,0.05,3.714,4.758,0.19,266.25430,26.32101,3,12
2019-05-18T16:45:23.20Z,35.1408385,-119.4453358,269.983,-0.08,-0.04,0.10,3.303,4.249,0.16,266.25430,26.32107,3,12
2019-05-18T16:45:23.40Z,35.1408361,-119.4453437,269.936,-0.25,-0.15,0.10,2.986,3.824,0.16,238.41352,26.43007,3,11
2019-05-18T16:45:23.60Z,35.1408271,-119.4453451,270.924,-0.06,0.14,-0.06,2.660,3.438,0.14,238.41352,26.43012,3,11
2019-05-18T16:45:23.80Z,35.1408249,-119.4453400,270.483,0.00,0.06,-0.39,2.465,3.217,0.20,238.41352,26.43026,3,12
2019-05-18T16:45:24.00Z,35.1408238,-119.4453367,270.293,0.11,0.13,-0.50,2.332,3.060,0.20,238.41352,26.43044,3,12
2019-05-18T16:45:24.20Z,35.1408211,-119.4453380,269.919,0.10,0.15,-0.29,2.200,2.889,0.19,238.41352,26.43055,3,12
2019-05-18T16:45:24.40Z,35.1408164,-119.4453400,269.976,0.00,0.16,-0.22,2.081,2.726,0.19,238.41352,26.43064,3,12
2019-05-18T16:45:24.60Z,35.1408161,-119.4453417,270.172,0.01,0.31,-0.13,1.992,2.593,0.15,160.77786,25.66556,3,12
2019-05-18T16:45:24.80Z,35.1408139,-119.4453409,269.735,-0.04,0.46,0.16,1.911,2.491,0.14,118.05037,18.84663,3,12
2019-05-18T16:45:25.00Z,35.1408131,-119.4453401,269.745,-0.01,0.54,-0.09,1.872,2.436,0.19,102.17844,15.54288,3,10
2019-05-18T16:45:25.20Z,35.1408134,-119.4453374,269.333,0.04,0.35,-0.07,1.831,2.381,0.21,97.38227,25.86555,3,10
2019-05-18T16:45:25.40Z,35.1408156,-119.4453368,268.797,0.16,0.06,0.11,1.790,2.328,0.22,97.38227,25.86562,3,11
2019-05-18T16:45:25.60Z,35.1408163,-119.4453365,268.364,0.23,0.01,0.02,1.751,2.282,0.17,71.89497,42.78520,3,12
2019-05-18T16:45:25.80Z,35.1408173,-119.4453348,267.952,0.11,0.15,0.05,1.713,2.239,0.14,71.89497,42.78524,3,12
2019-05-18T16:45:26.00Z,35.1408186,-119.4453337,267.670,0.04,-0.03,0.06,1.672,2.193,0.27,71.89497,42.78529,3,12
2019-05-18T16:45:26.20Z,35.1408190,-119.4453332,267.438,-0.03,0.06,0.05,1.635,2.152,0.14,71.89497,42.78532,3,12
2019-05-18T16:45:26.40Z,35.1408197,-119.4453320,267.203,0.02,0.03,0.07,1.602,2.114,0.22,71.89497,42.78537,3,12
2019-05-18T16:45:26.60Z,35.1408197,-119.4453307,267.053,0.00,0.06,0.05,1.571,2.077,0.16,71.89497,42.78540,3,12
2019-05-18T16:45:26.80Z,35.1408191,-119.4453305,267.096,0.08,0.00,0.06,1.542,2.049,0.20,71.89497,42.78545,3,12
2019-05-18T16:45:27.00Z,35.1408191,-119.4453303,267.082,-0.03,0.06,0.04,1.516,2.021,0.17,71.89497,42.78548,3,12
2019-05-18T16:45:27.20Z,35.1408187,-119.4453298,267.169,0.11,0.26,0.01,1.490,1.998,0.15,68.50571,34.58467,3,12
2019-05-18T16:45:27.40Z,35.1408192,-119.4453300,267.061,0.15,-0.37,0.13,1.470,1.977,0.21,326.07579,19.72994,3,12
2019-05-18T16:45:27.60Z,35.1408200,-119.4453292,267.008,0.31,0.02,0.00,1.451,1.957,0.14,337.36941,30.46712,3,12
2019-05-18T16:45:27.80Z,35.1408207,-119.4453291,266.900,0.17,-0.13,0.00,1.430,1.935,0.17,331.64410,36.73373,3,12
2019-05-18T16:45:28.00Z,35.1408210,-119.4453296,266.860,0.14,-0.20,0.03,1.412,1.917,0.18,318.50035,37.22293,3,12
2019-05-18T16:45:28.20Z,35.1408204,-119.4453295,266.852,-0.30,0.05,-0.01,1.395,1.899,0.17,234.82395,32.62082,3,12
2019-05-18T16:45:28.40Z,35.1408201,-119.4453298,266.810,-0.06,-0.15,0.08,1.377,1.878,0.16,234.82395,32.62087,3,12
2019-05-18T16:45:28.60Z,35.1408195,-119.4453303,266.747,-0.27,-0.14,0.21,1.364,1.863,0.18,220.68967,30.82428,3,11
2019-05-18T16:45:28.80Z,35.1408192,-119.4453311,266.780,0.04,-0.06,0.12,1.346,1.844,0.23,220.68967,30.82435,3,11
2019-05-18T16:45:29.00Z,35.1408189,-119.4453316,266.869,-0.03,-0.01,0.08,1.328,1.823,0.21,220.68967,30.82441,3,11
2019-05-18T16:45:29.20Z,35.1408186,-119.4453320,267.004,0.10,-0.04,0.12,1.310,1.803,0.22,220.68967,30.82448,3,11
2019-05-18T16:45:29.40Z,35.1408171,-119.4453303,267.433,0.03,-0.01,0.07,1.288,1.775,0.22,220.68967,30.82454,3,12
