time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2024-10-12T18:00:34.40Z,38.5847328,-121.8540761,16.379,-0.09,0.68,0.24,75.747,58.381,4.97,0.00000,180.00000,3,6
2024-10-12T18:00:35.00Z,38.5847605,-121.8538504,16.036,0.14,0.37,0.30,48.243,34.938,3.14,0.00000,180.00000,3,5
2024-10-12T18:00:35.10Z,38.5847543,-121.8538497,16.268,0.32,0.29,0.24,46.068,32.256,3.20,0.00000,130.59254,3,4
2024-10-12T18:00:35.20Z,38.5847611,-121.8538438,15.811,0.60,0.64,0.58,41.815,29.367,2.63,0.00000,130.59344,3,5
2024-10-12T18:00:35.30Z,38.5847580,-121.8538478,15.713,0.77,0.60,0.67,40.240,27.981,2.58,0.00000,130.59432,3,5
2024-10-12T18:00:35.40Z,38.5847556,-121.8538545,15.843,0.90,0.63,0.67,38.885,26.944,2.50,31.40859,44.25474,3,5
2024-10-12T18:00:35.50Z,38.5847676,-121.8538501,14.533,1.07,0.54,0.76,35.893,24.992,2.12,28.90213,40.54408,3,6
2024-10-12T18:00:35.60Z,38.5847718,-121.8538562,14.612,0.99,0.76,0.74,34.969,24.262,2.10,33.32874,40.08465,3,4
2024-10-12T18:00:35.70Z,38.5847877,-121.8538542,14.182,0.73,0.57,0.70,32.998,22.938,1.99,33.32874,40.08688,3,5
2024-10-12T18:00:35.80Z,38.5847975,-121.8538488,13.427,0.52,0.51,0.47,31.396,21.849,1.87,33.32874,40.08898,3,5
2024-10-12T18:00:35.90Z,38.5848007,-121.8538455,13.088,0.27,0.43,0.34,29.869,20.804,1.64,33.32874,40.09082,3,5
2024-10-12T18:00:36.00Z,38.5848175,-121.8538341,12.092,0.50,0.47,0.36,28.464,19.879,1.59,33.32874,40.09261,3,6
2024-10-12T18:00:36.10Z,38.5848330,-121.8538220,11.370,0.40,0.60,0.45,27.240,19.065,1.50,33.32874,40.09430,3,6
2024-10-12T18:00:36.20Z,38.5848442,-121.8538144,11.134,0.30,0.57,0.37,25.079,17.520,1.35,33.32874,40.09581,3,7
2024-10-12T18:00:36.30Z,38.5848523,-121.8538077,10.949,0.16,0.42,0.28,23.435,16.328,1.25,33.32874,40.09721,3,7
2024-10-12T18:00:36.40Z,38.5848616,-121.8537990,10.720,-0.09,0.20,0.42,22.137,15.380,0.94,33.32874,40.09827,3,7
2024-10-12T18:00:36.50Z,38.5848632,-121.8537903,10.638,0.15,0.15,0.24,21.021,14.624,1.07,33.32874,40.09947,3,7
2024-10-12T18:00:36.60Z,38.5848623,-121.8537805,10.365,-0.09,-0.32,0.29,19.701,13.764,0.61,33.32874,40.10015,3,7
2024-10-12T18:00:36.70Z,38.5848603,-121.8537838,10.869,-0.07,-0.28,0.47,17.970,12.723,0.52,33.32874,40.10076,3,8
2024-10-12T18:00:36.90Z,38.5848539,-121.8537905,11.672,0.13,0.27,0.37,15.941,11.598,0.83,33.32874,40.10263,3,9
2024-10-12T18:00:37.10Z,38.5848482,-121.8537978,12.375,0.10,0.26,0.26,14.895,10.988,0.78,33.32874,40.10438,3,8
2024-10-12T18:00:37.30Z,38.5848439,-121.8538021,12.834,0.11,0.31,0.22,13.724,10.313,0.70,33.32874,40.10594,3,9
2024-10-12T18:00:37.40Z,38.5848414,-121.8538053,13.136,0.13,0.30,0.30,12.805,9.770,0.68,33.32874,40.10670,3,9
2024-10-12T18:00:37.60Z,38.5848394,-121.8538049,13.166,0.25,0.27,0.26,12.221,9.397,0.69,33.32874,40.10825,3,8
2024-10-12T18:00:37.70Z,38.5848379,-121.8538052,13.208,0.23,0.11,0.33,11.566,9.008,0.64,33.32874,40.10897,3,9
2024-10-12T18:00:37.90Z,38.5848378,-121.8538072,13.231,0.06,-0.06,0.44,11.188,8.796,0.81,33.32874,40.11079,3,9
2024-10-12T18:00:38.00Z,38.5848380,-121.8538085,13.235,0.05,0.27,0.69,10.966,8.654,0.74,33.32874,40.11162,3,8
2024-10-12T18:00:38.10Z,38.5848381,-121.8538102,13.297,0.04,0.67,0.74,10.661,8.483,0.74,33.32874,40.11274,3,9
2024-10-12T18:00:38.20Z,38.5848384,-121.8538121,13.406,0.08,0.45,0.68,10.384,8.327,0.73,33.32874,40.11366,3,9
2024-10-12T18:00:38.30Z,38.5848371,-121.8538145,13.530,0.01,0.71,0.67,10.135,8.184,0.76,33.32874,40.11476,3,9
2024-10-12T18:00:38.40Z,38.5848364,-121.8538159,13.629,-0.33,0.64,0.79,9.913,8.060,0.77,33.32874,40.11596,3,9
2024-10-12T18:00:38.50Z,38.5848355,-121.8538166,13.635,-0.49,0.61,0.88,9.703,7.943,0.79,77.09262,43.78186,3,9
2024-10-12T18:00:38.60Z,38.5848352,-121.8538171,13.673,-0.21,0.45,0.67,9.518,7.839,0.80,77.09262,43.78272,3,9
2024-10-12T18:00:38.70Z,38.5848350,-121.8538178,13.613,0.11,0.12,0.56,9.337,7.738,0.79,77.09262,43.78352,3,9
2024-10-12T18:00:38.80Z,38.5848344,-121.8538183,13.607,0.12,0.22,0.48,9.170,7.643,0.80,77.09262,43.78435,3,9
2024-10-12T18:00:38.90Z,38.5848335,-121.8538188,13.630,-0.11,0.31,0.45,9.011,7.553,0.81,77.09262,43.78518,3,9
2024-10-12T18:00:39.10Z,38.5848332,-121.8538188,13.641,0.25,0.26,0.39,8.857,7.471,0.83,77.09262,43.78689,3,9
2024-10-12T18:00:39.20Z,38.5848328,-121.8538192,13.680,0.23,0.28,0.38,8.704,7.385,0.82,77.09262,43.78774,3,9
2024-10-12T18:00:39.30Z,38.5848321,-121.8538201,13.763,-0.05,0.15,0.30,8.555,7.299,0.83,77.09262,43.78859,3,9
2024-10-12T18:00:39.40Z,38.5848311,-121.8538213,13.861,0.10,0.05,0.26,8.418,7.219,0.78,77.09262,43.78939,3,9
2024-10-12T18:00:39.50Z,38.5848296,-121.8538227,13.940,0.11,0.12,0.20,8.277,7.134,0.79,77.09262,43.79020,3,9
2024-10-12T18:00:39.60Z,38.5848285,-121.8538226,13.959,-0.05,0.13,0.15,8.144,7.055,0.76,77.09262,43.79099,3,9
2024-10-12T18:00:39.70Z,38.5848276,-121.8538226,14.016,0.01,0.19,0.16,8.025,6.981,0.73,77.09262,43.79174,3,9
2024-10-12T18:00:39.80Z,38.5848269,-121.8538229,14.073,-0.01,0.05,0.18,7.917,6.910,0.76,77.09262,43.79253,3,9
2024-10-12T18:00:39.90Z,38.5848264,-121.8538227,14.078,0.06,0.06,0.11,7.813,6.842,0.77,77.09262,43.79332,3,9
2024-10-12T18:00:40.00Z,38.5848261,-121.8538227,14.119,-0.06,0.15,0.13,7.714,6.782,0.74,77.09262,43.79408,3,9
2024-10-12T18:00:40.10Z,38.5848257,-121.8538231,14.166,0.07,0.24,0.15,7.612,6.718,0.74,77.09262,43.79485,3,9
2024-10-12T18:00:40.20Z,38.5848257,-121.8538234,14.162,0.04,0.17,0.11,7.516,6.659,0.76,77.09262,43.79563,3,9
2024-10-12T18:00:40.30Z,38.5848256,-121.8538232,14.163,-0.03,0.22,0.18,7.413,6.599,0.73,77.09262,43.79638,3,9
2024-10-12T18:00:40.40Z,38.5848260,-121.8538230,14.157,-0.03,0.15,0.21,7.313,6.544,0.74,77.09262,43.79714,3,9
2024-10-12T18:00:40.50Z,38.5848264,-121.8538227,14.065,-0.27,0.02,0.24,7.217,6.488,0.65,77.09262,43.79781,3,9
2024-10-12T18:00:40.60Z,38.5848265,-121.8538228,14.015,-0.22,-0.10,0.20,7.120,6.422,0.61,77.09262,43.79843,3,9
