tiempo,lat,lon,hSNM,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2024-09-18T14:20:26.20Z,41.4033242,-88.7943952,-301.858,42.34,-47.68,97.01,1409.444,2346.580,233.10,311.60716,3.39565,3,4
2024-09-18T14:20:26.40Z,41.4032611,-88.7946349,-342.883,40.79,-47.12,95.45,700.585,1149.091,111.08,310.88020,2.75326,3,4
2024-09-18T14:20:26.60Z,41.4008146,-88.7910023,295.653,1.65,-1.90,-2.76,91.905,165.203,7.12,310.88081,41.69079,3,5
2024-09-18T14:20:26.80Z,41.4008432,-88.7910096,247.167,0.96,-1.29,-2.50,60.585,98.873,5.49,310.88081,41.70264,3,8
2024-09-18T14:20:27.00Z,41.4008493,-88.7910382,237.264,0.48,-0.89,-1.68,38.462,68.225,4.51,310.88081,41.71237,3,10
2024-09-18T14:20:27.20Z,41.4008543,-88.7910678,227.583,0.79,-0.53,-1.02,29.642,56.571,3.15,310.88081,41.71917,3,9
2024-09-18T14:20:27.40Z,41.4008379,-88.7910339,218.389,0.71,-0.25,-1.18,22.847,41.285,2.70,310.88081,41.72501,3,12
2024-09-18T14:20:27.60Z,41.4008547,-88.7910149,206.734,0.48,-0.37,-1.17,18.015,32.248,2.33,310.88081,41.73003,3,12
2024-09-18T14:20:27.80Z,41.4008577,-88.7909882,195.825,0.02,-0.04,-0.32,13.311,22.286,1.37,310.88081,41.73299,3,14
2024-09-18T14:20:28.00Z,41.4008576,-88.7909765,194.117,-0.09,0.03,-0.05,10.747,17.453,0.61,310.88081,41.73430,3,14
2024-09-18T14:20:28.20Z,41.4008604,-88.7909658,193.643,0.07,0.03,0.02,9.335,14.509,0.48,310.88081,41.73534,3,14
2024-09-18T14:20:28.40Z,41.4008534,-88.7909545,193.161,0.51,-0.40,-0.26,8.483,12.532,0.65,310.88081,41.73684,3,14
2024-09-18T14:20:28.60Z,41.4008443,-88.7909498,193.173,0.00,-0.23,-0.26,7.745,11.010,0.59,310.88081,41.73811,3,12
2024-09-18T14:20:28.80Z,41.4008311,-88.7909496,196.318,0.09,-0.04,-0.06,7.076,9.812,0.48,310.88081,41.73915,3,12
2024-09-18T14:20:29.00Z,41.4008157,-88.7909466,198.626,-0.37,-0.27,0.05,6.554,8.846,0.44,310.88081,41.74013,3,12
2024-09-18T14:20:29.20Z,41.4008069,-88.7909536,199.273,-0.06,0.20,0.24,5.982,8.040,0.44,310.88081,41.74108,3,12
2024-09-18T14:20:29.40Z,41.4008036,-88.7909556,198.926,0.00,0.02,0.21,5.428,7.284,0.38,310.88081,41.74190,3,13
2024-09-18T14:20:29.60Z,41.4008026,-88.7909446,197.042,0.07,0.08,0.01,4.862,6.476,0.26,310.88081,41.74247,3,14
2024-09-18T14:20:29.80Z,41.4008008,-88.7909423,196.312,-0.01,0.00,0.02,4.446,5.834,0.32,310.88081,41.74315,3,14
2024-09-18T14:20:30.00Z,41.4007994,-88.7909422,196.070,0.04,0.01,0.02,4.074,5.345,0.23,310.88081,41.74364,3,14
2024-09-18T14:20:30.20Z,41.4007987,-88.7909411,196.237,0.05,0.02,0.12,3.775,4.972,0.28,310.88081,41.74424,3,14
2024-09-18T14:20:30.40Z,41.4007995,-88.7909389,196.467,0.04,0.05,-0.11,3.532,4.677,0.28,310.88081,41.74484,3,14
2024-09-18T14:20:30.60Z,41.4008006,-88.7909324,196.466,-0.03,0.08,-0.10,3.335,4.437,0.25,310.88081,41.74538,3,14
2024-09-18T14:20:30.80Z,41.4008006,-88.7909281,196.381,-0.35,0.03,-0.01,3.200,4.255,0.22,246.09196,43.43608,3,14
2024-09-18T14:20:31.00Z,41.4007950,-88.7909329,196.640,-0.47,-0.40,-0.03,3.061,4.092,0.21,223.95194,18.65139,3,14
2024-09-18T14:20:31.20Z,41.4007929,-88.7909353,196.408,-0.75,-0.49,-0.12,2.927,3.953,0.23,217.28478,14.46482,3,13
2024-09-18T14:20:31.40Z,41.4007907,-88.7909356,195.945,-0.91,-0.41,0.18,2.784,3.775,0.19,210.21048,12.94372,3,13
2024-09-18T14:20:31.60Z,41.4007872,-88.7909385,195.871,-0.73,-0.40,-0.02,2.717,3.692,0.23,209.82485,22.77020,3,13
2024-09-18T14:20:31.80Z,41.4007854,-88.7909390,195.696,-0.98,-0.23,0.16,2.650,3.606,0.27,197.97674,14.14655,3,12
2024-09-18T14:20:32.00Z,41.4007843,-88.7909384,195.346,-1.24,-0.43,0.14,2.585,3.540,0.34,198.43790,15.52075,3,13
2024-09-18T14:20:32.20Z,41.4007850,-88.7909350,194.968,-1.04,-0.50,0.08,2.500,3.444,0.28,202.16781,14.90804,3,14
2024-09-18T14:20:32.40Z,41.4007839,-88.7909345,194.751,-0.76,-0.74,0.44,2.432,3.367,0.27,212.04210,16.48210,3,13
2024-09-18T14:20:32.60Z,41.4007827,-88.7909350,194.465,-0.94,-0.79,0.40,2.369,3.284,0.27,217.09710,12.91151,3,14
2024-09-18T14:20:32.80Z,41.4007814,-88.7909352,194.360,-1.09,-0.75,0.08,2.324,3.225,0.29,216.18786,17.88078,3,13
2024-09-18T14:20:33.00Z,41.4007809,-88.7909338,194.410,-0.82,-0.40,-0.52,2.270,3.138,0.29,211.41893,18.99477,3,14
2024-09-18T14:20:33.20Z,41.4007795,-88.7909315,193.903,-0.95,-0.77,-0.10,2.222,3.061,0.32,216.39401,13.40874,3,14
2024-09-18T14:20:33.40Z,41.4007787,-88.7909306,193.527,-0.90,-0.89,0.32,2.176,2.980,0.34,220.94174,12.31191,3,14
2024-09-18T14:20:33.60Z,41.4007780,-88.7909292,193.285,-0.62,-1.04,-0.04,2.134,2.909,0.21,227.05013,17.47592,3,14
2024-09-18T14:20:33.80Z,41.4007770,-88.7909310,193.353,-0.57,-1.17,0.33,2.092,2.834,0.25,237.43336,13.84061,3,14
2024-09-18T14:20:34.00Z,41.4007764,-88.7909335,193.247,-0.84,-0.98,-0.40,2.051,2.773,0.20,233.04258,12.81661,3,13
2024-09-18T14:20:34.20Z,41.4007748,-88.7909354,193.115,-0.91,-0.91,0.10,2.013,2.712,0.25,228.85060,12.41920,3,14
2024-09-18T14:20:34.40Z,41.4007742,-88.7909367,192.985,-0.61,-1.06,0.17,1.977,2.658,0.19,233.92013,13.78976,3,14
2024-09-18T14:20:34.60Z,41.4007730,-88.7909389,192.728,-0.56,-1.27,0.12,1.937,2.600,0.16,242.55636,9.08591,3,14
2024-09-18T14:20:34.80Z,41.4007717,-88.7909407,192.594,-0.51,-1.13,0.14,1.905,2.545,0.17,243.99851,9.73683,3,14
2024-09-18T14:20:35.00Z,41.4007708,-88.7909428,192.489,-0.67,-1.10,0.14,1.873,2.507,0.16,241.15603,9.14166,3,14
2024-09-18T14:20:35.20Z,41.4007705,-88.7909454,192.439,-0.39,-1.31,0.06,1.848,2.473,0.18,246.11095,11.05900,3,14
2024-09-18T14:20:35.40Z,41.4007708,-88.7909469,192.385,-0.37,-0.97,-0.02,1.818,2.441,0.18,247.26604,14.71929,3,14
2024-09-18T14:20:35.60Z,41.4007710,-88.7909487,192.204,-0.30,-1.22,0.26,1.795,2.416,0.22,252.48786,12.54957,3,13
2024-09-18T14:20:35.80Z,41.4007712,-88.7909514,192.342,0.21,-1.48,-0.30,1.782,2.391,0.28,262.28899,15.96241,3,13
2024-09-18T14:20:36.00Z,41.4007719,-88.7909545,192.227,-0.13,-1.34,0.26,1.765,2.367,0.36,263.39335,15.36339,3,13
2024-09-18T14:20:36.20Z,41.4007725,-88.7909575,192.151,-0.08,-1.17,-0.01,1.747,2.335,0.27,264.63937,16.44933,3,14
2024-09-18T14:20:36.40Z,41.4007732,-88.7909604,192.230,0.34,-1.37,-0.12,1.727,2.298,0.24,276.85369,12.47673,3,14
2024-09-18T14:20:36.60Z,41.4007744,-88.7909639,192.300,0.37,-1.49,-0.06,1.704,2.263,0.22,281.46961,9.07096,3,14
2024-09-18T14:20:36.80Z,41.4007756,-88.7909671,192.414,0.29,-1.34,-0.22,1.682,2.234,0.24,281.83505,11.23533,3,14
2024-09-18T14:20:37.00Z,41.4007765,-88.7909700,192.432,0.33,-1.22,0.11,1.661,2.206,0.21,283.95091,8.75696,3,14
2024-09-18T14:20:37.20Z,41.4007777,-88.7909728,192.447,0.53,-1.35,-0.15,1.642,2.185,0.25,288.38225,7.37596,3,14
