time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2024-08-16T14:23:36.80Z,32.8055699,-111.5823804,456.013,-0.08,-1.07,-0.12,9.875,12.544,0.37,261.83896,16.34434,3,11
2024-08-16T14:23:37.00Z,32.8055696,-111.5823949,455.849,-0.22,-1.25,0.50,7.626,10.014,0.31,260.57051,10.62605,3,11
2024-08-16T14:23:37.20Z,32.8055677,-111.5824067,456.508,-0.14,-1.33,0.05,6.275,8.357,0.25,262.55184,8.42763,3,11
2024-08-16T14:23:37.40Z,32.8055654,-111.5824081,457.653,-0.30,-1.21,0.03,5.393,7.257,0.23,259.17839,7.84243,3,11
2024-08-16T14:23:37.60Z,32.8055649,-111.5824078,457.941,-0.26,-1.25,0.51,4.812,6.651,0.20,258.81021,8.69327,3,11
2024-08-16T14:23:37.80Z,32.8055663,-111.5824063,458.824,0.20,-0.99,0.15,4.395,6.239,0.17,267.63714,10.96622,3,11
2024-08-16T14:23:38.00Z,32.8055670,-111.5824080,459.009,0.31,-1.37,0.88,4.046,5.864,0.19,277.96944,7.54691,3,11
2024-08-16T14:23:38.20Z,32.8055658,-111.5824136,459.459,0.15,-1.28,0.27,3.770,5.527,0.17,277.34904,8.38357,3,11
2024-08-16T14:23:38.40Z,32.8055636,-111.5824142,460.147,-0.05,-1.50,0.61,3.522,5.147,0.18,271.32391,6.21279,3,11
2024-08-16T14:23:38.60Z,32.8055635,-111.5824170,460.460,-0.07,-1.66,0.46,3.283,4.788,0.22,269.02107,5.15818,3,11
2024-08-16T14:23:38.80Z,32.8055632,-111.5824164,460.799,0.42,-1.01,0.51,3.044,4.430,0.20,276.48152,7.59321,3,11
2024-08-16T14:23:39.00Z,32.8055624,-111.5824178,461.189,-0.33,-1.27,0.04,2.857,4.137,0.17,266.01456,7.63079,3,11
2024-08-16T14:23:39.20Z,32.8055613,-111.5824205,461.487,-0.05,-1.49,0.14,2.714,3.916,0.18,267.42409,5.72052,3,11
2024-08-16T14:23:39.40Z,32.8055612,-111.5824235,461.532,-0.06,-1.30,0.39,2.595,3.735,0.16,267.40732,6.56502,3,11
2024-08-16T14:23:39.60Z,32.8055614,-111.5824260,461.502,0.07,-1.40,-0.24,2.478,3.550,0.16,270.90956,5.16400,3,11
2024-08-16T14:23:39.80Z,32.8055615,-111.5824274,461.541,0.41,-1.07,0.98,2.389,3.400,0.18,275.97374,8.92325,3,11
2024-08-16T14:23:40.00Z,32.8055610,-111.5824301,461.653,-0.44,-1.72,0.63,2.340,3.314,0.22,264.65576,7.98629,3,11
2024-08-16T14:23:40.20Z,32.8055602,-111.5824332,461.587,-0.24,-1.62,-0.86,2.282,3.222,0.29,262.75891,6.13665,3,11
2024-08-16T14:23:40.40Z,32.8055600,-111.5824355,461.495,0.02,-0.81,1.23,2.234,3.159,0.34,264.00845,14.74830,3,11
2024-08-16T14:23:40.60Z,32.8055603,-111.5824381,461.521,0.10,-1.66,-0.35,2.190,3.110,0.26,270.16625,10.52410,3,11
2024-08-16T14:23:40.80Z,32.8055602,-111.5824404,461.603,0.15,-0.91,0.65,2.156,3.056,0.39,272.91873,16.39967,3,11
2024-08-16T14:23:41.00Z,32.8055601,-111.5824435,461.738,-0.17,-1.84,0.25,2.117,3.002,0.26,267.48690,11.56996,3,11
2024-08-16T14:23:41.20Z,32.8055596,-111.5824459,461.737,-0.10,-1.16,0.44,2.067,2.948,0.27,266.44986,12.22664,3,11
2024-08-16T14:23:41.40Z,32.8055596,-111.5824481,461.747,-0.04,-1.61,0.38,2.026,2.893,0.26,267.76412,9.86280,3,11
2024-08-16T14:23:41.60Z,32.8055595,-111.5824512,461.803,-0.02,-1.35,-0.22,1.990,2.837,0.23,268.25582,14.50896,3,11
2024-08-16T14:23:41.80Z,32.8055596,-111.5824538,461.782,0.37,-1.03,0.28,1.965,2.802,0.35,276.43237,18.53517,3,11
2024-08-16T14:23:42.00Z,32.8055592,-111.5824569,461.776,-0.41,-1.84,-0.01,1.940,2.757,0.25,265.63371,16.32684,3,11
2024-08-16T14:23:42.20Z,32.8055588,-111.5824599,461.744,-0.06,-1.62,-0.27,1.923,2.730,0.22,266.62438,17.24893,3,11
