elevation,lat,lon,name,country,DZ
2.0,36.649092,174.934864,Parakai Auckland,NZL,Skydive Auckland
238.0,41.8926,-89.0796,Rochelle,USA,Chicagoland Skydiving Center
24.0,29.067,-81.2837,DeLand,USA,Skydive Deland
386.0,33.63,-117.3017,Elsinore,USA,Skydive Elsinore
461.0,32.8067,-111.5866,Eloy,USA,Skydive Arizona
416.0,36.5681,-114.4433,Overton,USA,Skydive Fyrosity
83.0,47.2335,-123.1475,Shelton,USA,Skydive Kapowsin
72.0,51.6472,7.1633,Marl,GER,Fallschirmsport Marl e.V.
135.0,51.2472,-1.7542,Netheravon,GBR,Skydive Netheravon
8.0,33.218,-117.3515,Oceanside,USA,GoJump Oceanside
431.0,33.7646,-117.219,Perris,USA,Skydive Perris
0.0,44.3643,12.2249,Ravenna,ITA,Skydive Pull Out Ravenna
27.0,34.6656,-120.4675,Lompoc,USA,Skydive Santa Barbara
7.0,27.8132,-80.4955,Sebastian,USA,Skydive Sebastian
832.0,45.07929542632054,3.7620959846568214,Chazpuzac,FRA,Paraclub du Puy
188.0,41.3997,-88.7939,Ottawa,USA,Skydive Chicago
240.0,42.7032,-87.9589,Sturtevant,USA,Skydive Midwest
15.0,29.3569,-95.4594,Rosharon,USA,Skydive Spaceland Houston
27.0,28.228,-82.156,Zephyrhills,USA,Skydive City Zephyrhills
140.0,-36.784904,145.039509,Bailieston,AUS,Skydive Nagambie
18.0,38.2024417,-121.2691417,Lodi,USA,Skydive Lodi Parachute Center
13.0,37.02865,15.243458,Siracusa,ITA,SkydiveSicilia Siracusa
127.0,56.798392,37.3312258,Borki,RUS,DZ Borki
238.0,54.789712,37.642467,Pushchino,RUS,DZ Pushchino
156.0,46.389969,17.731702,Kaposvar,RUS,Kapos DropZone
26.0,44.93794,38.928427,Enem,RUS,DZ Enem
7.0,44.597435,11.653231,Molinella,ITA,Moli D Zone
127.0,46.86286498,18.08786809,Siofok,HUN,Skydive Balaton
50.0,54.6494302,24.06236627,Pociunai,LTU,Kaunas Skydiving Club
1248.0,-25.663383,28.220384,Pretoria,RSA,Skydive Pretoria
144.0,55.091244,38.918871,Kolomna,RUS,Aerograd Kolomna
2.0,42.25945116,3.10997844,Empuriabrava,ESP,Skydive Empuriabrava
40.0,53.24922509,50.04617929,Samara,RUS,Sky Roads Samara
60.0,58.98742257,24.72462416,Kuusiku,EST,Skydive Estonia
170.0,-31.82505824,116.7982829,York,AUS,Skydive York
331.0,50.52436163,13.68278503,Most,CZE,
466.0,49.719174,14.097512,Pribram,CZE,
214.0,49.4478303,17.13403702,Prostejov,CZE,JUMP-TANDEM s.r.o.
555.0,49.42058439,15.63575506,Jihlava,CZE,
190.0,39.5325855,-89.3307069,Taylorville,USA,Mid-America Sport Parachute
