,dropZone,lat,lon,elevation,location,country
39,Aarhus,56.31325799,10.6151104,20.0,Aarhus,DEN
61,Abbotsford,49.09533273,-122.3131299,6.0,Abbotsford,CAN
160,Adrenalin Skydive,-34.809077,149.726989,653.0,Goulburn,AUS
240,Aero Parachute sport GmbH,51.408333,9.3775,277.0,Calden,GER
174,Aeroclub Menzelinsk,55.720724,53.060472,119.0,Menzelinsk,RUS
196,Aerodrom Borodyanka,50.667,29.915001,141.0,Borodyanka,UKR
203,Aerodrom Tanay,54.758114,85.112972,213.0,Zhuravlevo,RUS
29,Aerograd Kolomna,55.091244,38.918871,144.0,Kolomna,RUS
148,Aeroklub Bovec,46.328833,13.548833,431.0,Bovec,SLO
119,Alavus,62.55523553,23.57099533,124.0,Alavus,FIN
65,Altenstadt,47.83980781,10.86618125,739.0,Altenstadt,GER
107,Ashburton,-43.90432806,171.8039095,91.0,Ashburton,NZL
93,Australian Skydive,-38.29661407,144.3638814,9.0,Torquay,AUS
44,Azov,47.08796908,39.41306591,40.0,Azov,RUS
99,BFU,44.69952398,10.66891551,46.0,Reggio Emilia,ITA
47,Bay Area Skydiving,37.8350433,-121.6329646,19.0,Byron,USA
129,Bell Ville,-32.65829576,-62.70084679,130.0,Bell Ville,ARG
192,Black Knights Parachute Centre,53.9658,-2.83126878,4.0,Cockerham,GBR
89,Bogorodsk,56.12712436,43.54512691,118.0,Bogorodsk,RUS
85,Bolzano,46.46097203,11.32898569,240.0,Bolzano,ITA
91,Brisbane Grove,-34.80625409,149.7339106,653.0,Brisbane Grove,AUS
108,Bryansk,53.33663265,34.23449278,155.0,Bryansk,RUS
51,Cape Town,-33.34663973,18.6969173,195.0,Cape Town,RSA
101,Castellon,39.99677492,0.02539515,1.0,Castellon,ESP
213,Centre Ecole de Parachutisme de Cahors,44.351398,1.47528,278.0,Cieurac,FRA
87,Cerfontaine,50.15131071,4.38751459,290.0,Cerfontaine,BEL
117,Chaspuzac,45.07689403,3.76042753,832.0,Chaspuzac,FRA
0,Chicagoland Skydiving Center,41.8926,-89.0796,238.0,Rochelle,USA
77,Cremona,45.16766289,10.0071609,49.0,Cremona,ITA
252,Crystal Coast Skydiving,34.7337586,-76.6603547,3.0,Beauford NC,USA
21,DZ Borki,56.798392,37.3312258,127.0,Borki,RUS
24,DZ Enem,44.93794,38.928427,26.0,Enem,RUS
